site_path_timestamp,floor,x,y
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000000009,0,87.34871,104.09811
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000009017,0,82.39735,102.12806
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000015326,0,85.33495,106.658104
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000018763,0,86.98183,109.51511
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000022328,0,85.4124,108.038925
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000029946,0,77.8953,109.09129
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000040283,0,85.94727,107.67519
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000051343,0,79.804726,106.258606
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000064014,0,85.02546,100.33034
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000000012,0,84.729706,12.936589
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000005748,0,87.77549,16.640226
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000014654,0,82.912285,18.188448
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000019316,0,80.437065,14.246359
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000027660,0,83.22176,15.021117
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000034445,0,87.81016,17.673012
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000045583,0,85.575325,12.591254
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000058977,0,84.24431,16.702246
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000000011,-1,158.52971,136.4231
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000011818,-1,157.52057,147.44376
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000019825,-1,157.77158,153.24394
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000027199,-1,160.2464,157.69464
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000033660,-1,158.85167,166.10934
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000043214,-1,166.11531,166.83131
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000053320,-1,159.21059,157.4383
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000059671,-1,159.1441,154.14955
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000064822,-1,159.81543,149.3472
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000072018,-1,161.35158,141.60284
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000084546,-1,157.65738,148.16585
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000094486,-1,157.69382,152.30531
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000103491,-1,158.07324,155.5161
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000112216,-1,162.23909,167.21414
5a0546857ecc773753327266_146035943a1482883ed98570_0000000000011,-1,111.041565,140.20897
5a0546857ecc773753327266_146035943a1482883ed98570_0000000004535,-1,111.593575,141.24083
5a0546857ecc773753327266_146035943a1482883ed98570_0000000011498,-1,113.10184,138.37187
5a0546857ecc773753327266_146035943a1482883ed98570_0000000019249,-1,117.90568,128.53328
5a0546857ecc773753327266_146035943a1482883ed98570_0000000026531,-1,118.25191,125.205086
5a0546857ecc773753327266_146035943a1482883ed98570_0000000035158,-1,115.075005,134.0034
5a0546857ecc773753327266_146035943a1482883ed98570_0000000040966,-1,113.5207,137.02803
5a0546857ecc773753327266_146035943a1482883ed98570_0000000049330,-1,112.21841,138.20177
5a0546857ecc773753327266_146035943a1482883ed98570_0000000055485,-1,114.333466,138.65321
5a0546857ecc773753327266_146035943a1482883ed98570_0000000063866,-1,110.095375,145.2732
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000000009,0,90.47345,57.279957
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000012833,0,85.842186,54.109608
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000021759,0,92.05292,57.263535
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000035154,0,85.60611,46.867672
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000043072,0,86.62769,57.313732
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000050947,0,86.761475,63.18413
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000064333,0,85.25448,53.99167
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000071770,0,87.43631,52.940014
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000000010,0,51.07241,113.93481
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000006961,0,57.425606,113.755325
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000013051,0,59.12082,112.090225
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000019370,0,55.49945,113.76942
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000027427,0,55.009937,115.09848
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000033372,0,52.988014,113.80927
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000046249,0,46.149048,111.98184
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000055236,0,53.065735,108.851105
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000062606,0,60.868694,108.84688
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000071831,0,51.462177,109.348434
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000080815,0,52.48797,107.27969
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000087232,0,47.873455,108.43744
5a0546857ecc773753327266_3e0aebb66ef39150bbc27c24_0000000000009,0,15.60277,118.26554
5a0546857ecc773753327266_3e0aebb66ef39150bbc27c24_0000000007022,0,21.998327,124.303665
5a0546857ecc773753327266_3e0aebb66ef39150bbc27c24_0000000012073,0,26.657328,124.79646
5a0546857ecc773753327266_3e0aebb66ef39150bbc27c24_0000000016344,0,28.097683,122.38786
5a0546857ecc773753327266_3e0aebb66ef39150bbc27c24_0000000021335,0,35.31979,118.06746
5a0546857ecc773753327266_3e0aebb66ef39150bbc27c24_0000000029226,0,26.33975,122.5598
5a0546857ecc773753327266_3e0aebb66ef39150bbc27c24_0000000035850,0,28.379868,121.25264
5a0546857ecc773753327266_3e0aebb66ef39150bbc27c24_0000000043355,0,21.479383,124.31535
5a0546857ecc773753327266_3e0aebb66ef39150bbc27c24_0000000049672,0,23.721102,122.7563
5a0546857ecc773753327266_3e0aebb66ef39150bbc27c24_0000000057036,0,19.479153,121.62776
5a0546857ecc773753327266_3e0aebb66ef39150bbc27c24_0000000061607,0,21.500053,123.11962
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000000010,0,89.96645,105.76648
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000006597,0,104.17599,111.34545
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000012043,0,110.20671,114.70485
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000016388,0,111.484604,116.032486
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000022345,0,111.81705,117.153595
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000029746,0,112.58316,111.81425
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000041215,0,109.79606,111.88684
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000057771,0,109.52695,113.39422
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000065216,0,111.214195,113.05028
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000074453,0,111.2379,109.13055
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000080138,0,110.97629,115.97537
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000088849,0,112.1273,111.94629
5a0546857ecc773753327266_412da1891c4780f6f0f7f4bc_0000000000012,0,97.054985,83.269516
5a0546857ecc773753327266_412da1891c4780f6f0f7f4bc_0000000010362,0,97.41636,71.956604
5a0546857ecc773753327266_412da1891c4780f6f0f7f4bc_0000000016791,0,90.01782,63.325905
5a0546857ecc773753327266_412da1891c4780f6f0f7f4bc_0000000021695,0,90.593834,63.862415
5a0546857ecc773753327266_412da1891c4780f6f0f7f4bc_0000000035250,0,92.27224,69.57463
5a0546857ecc773753327266_412da1891c4780f6f0f7f4bc_0000000042252,0,94.04049,70.1976
5a0546857ecc773753327266_412da1891c4780f6f0f7f4bc_0000000050072,0,93.708046,74.0234
5a0546857ecc773753327266_412da1891c4780f6f0f7f4bc_0000000057094,0,97.81146,82.87119
5a0546857ecc773753327266_412da1891c4780f6f0f7f4bc_0000000063488,0,97.3869,84.21257
5a0546857ecc773753327266_412da1891c4780f6f0f7f4bc_0000000072612,0,99.04488,76.05027
5a0546857ecc773753327266_6d89334316127640cff99800_0000000000012,-1,119.34396,109.12964
5a0546857ecc773753327266_6d89334316127640cff99800_0000000008432,-1,119.2702,108.63219
5a0546857ecc773753327266_6d89334316127640cff99800_0000000017044,-1,119.52442,112.80982
5a0546857ecc773753327266_6d89334316127640cff99800_0000000027938,-1,118.1261,112.137474
5a0546857ecc773753327266_6d89334316127640cff99800_0000000034373,-1,119.4066,117.62667
5a0546857ecc773753327266_6d89334316127640cff99800_0000000043333,-1,120.86137,110.45327
5a0546857ecc773753327266_6d89334316127640cff99800_0000000050678,-1,119.632996,107.77974
5a0546857ecc773753327266_6d89334316127640cff99800_0000000059402,-1,122.54867,114.53917
5a0546857ecc773753327266_6d89334316127640cff99800_0000000069531,-1,121.28506,116.14373
5a0546857ecc773753327266_6d89334316127640cff99800_0000000075470,-1,124.8396,118.16146
5a0546857ecc773753327266_6d89334316127640cff99800_0000000081216,-1,125.22689,116.646805
5a0546857ecc773753327266_6d89334316127640cff99800_0000000086153,-1,127.57304,115.00525
5a0546857ecc773753327266_6d89334316127640cff99800_0000000092213,-1,126.061226,113.96297
5a0546857ecc773753327266_6d89334316127640cff99800_0000000099654,-1,125.29551,114.41389
5a0546857ecc773753327266_6d89334316127640cff99800_0000000105397,-1,124.1314,113.903015
5a0546857ecc773753327266_6d89334316127640cff99800_0000000111847,-1,124.85843,114.33332
