x,y,distance,floor,site
130.10181527473898,78.77072576160542,1.027237839944741,B1,5a0546857ecc773753327266
128.41218131013198,63.89556724868423,15.880926141477905,B1,5a0546857ecc773753327266
138.54998509777397,59.16256226730022,19.126211542909992,B1,5a0546857ecc773753327266
149.7015692641802,60.85292118922307,15.096283887206361,B1,5a0546857ecc773753327266
152.06705681462998,73.36157721145226,2.611784789848433,B1,5a0546857ecc773753327266
139.22583868361676,77.08036683968255,2.2416250154290656,B1,5a0546857ecc773753327266
101.37803787641998,79.44686933037457,18.404682913617787,B1,5a0546857ecc773753327266
98.67462353304877,68.62857223006824,24.603218724761522,B1,5a0546857ecc773753327266
85.49547860911417,67.9524286612991,36.74638115534467,B1,5a0546857ecc773753327266
72.31633368517959,67.61435687691451,49.336600760809624,B1,5a0546857ecc773753327266
67.58535858427999,63.21942367991508,55.185998014249236,B1,5a0546857ecc773753327266
71.64048009933678,56.7960597766082,53.990206937038266,B1,5a0546857ecc773753327266
83.4679178515858,57.13413156099276,43.61262740339908,B1,5a0546857ecc773753327266
95.97120918967758,57.810275129761926,33.47525044881635,B1,5a0546857ecc773753327266
109.15035411361218,58.14834691414649,25.566811377939235,B1,5a0546857ecc773753327266
118.95023110833277,58.824490482915635,22.636176896389696,B1,5a0546857ecc773753327266
122.66742583046818,65.58592617060708,15.395453368311253,B1,5a0546857ecc773753327266
118.27437752248997,74.37579256460599,7.210362076586271,B1,5a0546857ecc773753327266
115.57096317911878,81.13722825229743,4.114359672580484,B1,5a0546857ecc773753327266
127.06047413844637,109.87332992498611,1.2999225611478968,B1,5a0546857ecc773753327266
116.58474355788297,100.06924817783349,2.2042002998088916,B1,5a0546857ecc773753327266
109.15035411361218,88.57480750875803,11.498695477567876,B1,5a0546857ecc773753327266
116.58474355788297,92.63166892137289,5.603794615418994,B1,5a0546857ecc773753327266
121.65364545170398,90.26516643068089,1.8006652418071254,B1,5a0546857ecc773753327266
130.43974206766038,90.60323821506546,3.871270730190455,B1,5a0546857ecc773753327266
133.14315641103158,97.70274568714149,9.755619152811683,B1,5a0546857ecc773753327266
131.45352244642459,85.53216144929686,1.6338997826916863,B1,5a0546857ecc773753327266
139.90169226945957,86.5463768024506,0.7592337437675141,B1,5a0546857ecc773753327266
143.28096019867357,93.64588427452662,1.2835072518055315,B1,5a0546857ecc773753327266
142.94303340575217,82.48951538983572,1.0203741398374433,B1,5a0546857ecc773753327266
153.75669077923698,82.48951538983572,1.1508501728170393,B1,5a0546857ecc773753327266
155.78425153676537,94.66009962768032,1.5660144477059528,B1,5a0546857ecc773753327266
157.47388550137237,103.7880378060638,1.7413297601800073,B1,5a0546857ecc773753327266
152.74291040047277,111.90176063129353,0.9871420613243794,B1,5a0546857ecc773753327266
140.5775458553024,113.93019133760097,1.70957175814434,B1,5a0546857ecc773753327266
137.19827792608837,103.44996602167923,6.144793257236238,B1,5a0546857ecc773753327266
134.83279037563858,101.42153531537178,8.138956763232754,B1,5a0546857ecc773753327266
136.86035113316697,113.5921195532164,3.115302750590364,B1,5a0546857ecc773753327266
236.88668183790134,147.39929799167368,9.169895247979365,B1,5a0546857ecc773753327266
246.34863203970056,146.04701085413538,17.931804059066295,B1,5a0546857ecc773753327266
255.81058224149976,144.69472371659708,27.234657681232875,B1,5a0546857ecc773753327266
265.2725324432989,140.97593408836678,37.393539312330304,B1,5a0546857ecc773753327266
269.66558075127716,131.84799590998333,45.15579176130416,B1,5a0546857ecc773753327266
267.97594678667014,122.04391416283072,49.280732238044926,B1,5a0546857ecc773753327266
265.2725324432989,113.25404776883182,53.48793187782827,B1,5a0546857ecc773753327266
260.87948413532075,119.00126810336955,46.27251951805964,B1,5a0546857ecc773753327266
262.5691180999278,128.4672780661376,41.04593068347641,B1,5a0546857ecc773753327266
260.20363054947796,137.2571444601365,34.25951647031541,B1,5a0546857ecc773753327266
250.74168034767874,138.60943159767479,25.500752781131357,B1,5a0546857ecc773753327266
243.64521769632935,137.2571444601365,21.186907356562823,B1,5a0546857ecc773753327266
240.26594976711533,134.21449840067532,21.826897181668432,B1,5a0546857ecc773753327266
236.88668183790134,138.94750338205935,16.080481136428773,B1,5a0546857ecc773753327266
95.97120918967758,122.3819859472153,19.614139583689276,B1,5a0546857ecc773753327266
94.28157522507057,116.63476561267755,19.241728648364298,B1,5a0546857ecc773753327266
94.61950201799198,122.04391416283072,20.959079316408804,B1,5a0546857ecc773753327266
95.97120918967758,129.4814934192913,16.49846252139816,B1,5a0546857ecc773753327266
95.29535560383478,135.56678553821362,15.284183720413099,B1,5a0546857ecc773753327266
91.24023408877798,132.1860676943679,20.054413509103885,B1,5a0546857ecc773753327266
85.49547860911417,130.49570877244503,26.036017551190348,B1,5a0546857ecc773753327266
